TGF_ID,Cluster_ID
100304845,48
100409543,4
100802897,14
100802897,26
100802897,34
100805032,10
100807804,6
100807804,18
100807804,39
100807804,42
100807804,53
100823380,36
100826152,29
100828213,27
100905109,9
100905109,12
100905109,31
100905109,38
100912859,10
100912859,44
100912859,46
100912859,49
100912859,52
100912860,47
110516546,37
110516546,25
110521384,10
110521384,9
110705536,13
110710366,25
110710366,33
110710366,34
110720322,3
110815559,32
110924869,8
110924869,27
110929773,20
110929773,16
110929773,21
110929773,23
110929773,6
111027331,13
111027331,6
111124269,50
120110812,18
120110812,21
120120412,34
120122330,50
120228152,34
120429897,12
120429897,10
120429897,22
120520437,28
120612421,36
120612421,37
120612421,32
120624218,13
120624218,29
120624218,20
120626205,23
120626205,7
120626205,2
120706512,20
120706651,33
120706651,34
120706651,29
120706651,27
120715393,32
120715393,42
120715393,25
120715393,20
120715393,27
120715607,9
120715607,23
120718657,25
120719586,15
120719586,16
120721503,25
120804287,16
120804287,44
120804287,25
120916060,0
120919969,52
121220866,31
130307317b,22
130307317b,46
130327518,23
130327518,18
130423011,29
130423011,24
130526422,9
130526937,11
130526937,53
130526937,31
130526937,8
130608439,10
130704144,22
130704144,38
130712880,76
130812059,1
130812059,6
130812059,38
130906099,6
130906099,7
130906099,9
130906099,17
130919866,5
130919866,4
130919866,9
130919866,16
130919866,19
130920255,15
130920255,14
130926075,20
130926075,19
130926075,15
130926075,7
131011721,21
131011721,38
131113003,23
131201441,8
131222213,6
131222213,16
140104417,23
140106901,18
140106901,17
140106901,22
140129212,17
140129212,23
140220838,14
140220838,10
140220838,7
140308747,40
140308747,46
140308747,36
140420662a,12
140420662a,49
140505540,17
140505540,15
140611364,16
140611364,17
140611366,16
140713122,10
140713122,11
140713930,12
140713930,23
140713930,34
140713930,15
140713930,38
140725848,46
140725848,28
140728754,28
140728754,16
140801444,19
140801444,27
140815815,3
140815815,13
140815815,6
140815815,8
140923438,27
140923438,15
140923438,50
140923438,33
140929041,35
141004145,28
141004145,7
141004145,16
141004145,17
141004145,30
141004145,40
141018620,25
141018620,26
141125669,17
141125669,16
141125669,20
141125669,18
150127358,49
150127358,13
150127358,28
150130263,32
150130263,26
150202235,21
150202235,16
150202235,19
150202235,27
150202235,6
150202235,11
150202235,18
150202235,21
150401637,60
150401637,85
150418534,12
150418534,20
150425304,4
150428144,13
150428144,11
150428144,18
150428144,14
150428144,13
150428643,40
150428643,43
150511702,7
150511702,9
150527891,24
150608414,58
150608414,31
150608982,14
150614403,39
150626587,9
150626587,19
150705946b,36
150705946b,43
150705946b,47
150705946b,23
150705946b,32
150705946b,25
150705946b,18
150710980,13
150711630,13
150711630,25
150711630,26
150711630,11
150711630,7
150722497,3
150722497,13
150730535,8
150730535,7
150730535,10
150801523,25
150801523,21
150911308,40
150912616,8
150912616,46
150912616,58
150912616,59
150912616,41
150916372,22
150916372,51
150916372,55
150919417,24
150919417,13
150924454,7
150924454,10
151020736,2
151107476,67
151107476,35
151115569,30
151205018,25
151205018,29
151205018,23
151215884,6
151215884,11
151226583,12
160105239,12
160105239,9
160109112,23
160109112,24
160113734,9
160113734,16
160120893,8
160123867,21
160123867,25
160123867,27
160125261,3
160125261,13
160125261,9
160125261,15
160125261,16
160209849,35
160209849,34
160209849,28
160209849,27
160209849,30
160209849,26
160209849,14
160209849,17
160213061,1
160224253,26
160310021,5
160310021,18
160319339,12
160324294,1
160409147,6
160427973,33
160427973,34
160505569,7
160505569,14
160505569,5
160507324,39
160519504,13
160519504,17
160519504,36
160519504,14
160610149,3
160610149,8
160610149,7
160610149,10
160620599,50
160620599,62
160620599,24
160620599,49
160620599,65
160620599,57
160703489,17
160703489,6
160703489,18
160703489,22
160703489,17
160706377,6
160711352,37
160711352,25
160714185,8
160714185,4
160723679,32
160723679,22
160723679,16
